User,Timestamp,"Bin1,x","Bin2,x","Bin3,x","Bin4,x","Bin5,x","Bin6,x","Bin7,x","Bin8,x","Bin9,x","Bin10,x","Bin1,y","Bin2,y","Bin3,y","Bin4,y","Bin5,y","Bin6,y","Bin7,y","Bin8,y","Bin9,y","Bin10,y","Bin1,z","Bin2,z","Bin3,z","Bin4,z","Bin5,z","Bin6,z","Bin7,z","Bin8,z","Bin9,z","Bin10,z",TimeDiffPeaks-x,TimeDiffPeaks-y,TimeDiffPeaks-z,AvgAbsDiff-x,AvgAbsDiff-y,AvgAbsDiff-z,AvgAcc-x,AvgAcc-y,AvgAcc-z,StdDev-x,StdDev-y,StdDev-z,AvgResAcc,Label
user-id,1.50958E+12,0.014084507,0.018108652,0.022132797,0.062374245,0.197183099,0.283702213,0.167002012,0.112676056,0.056338028,0.054325956,0.016096579,0.030181087,0.102615694,0.138832998,0.171026157,0.142857143,0.112676056,0.09054326,0.094567404,0.048289738,0.018108652,0.124748491,0.136820926,0.146881288,0.114688129,0.06639839,0.078470825,0.08249497,0.126760563,0.068410463,61.55279503,92.99065421,79.12903226,0.337378775,0.706878583,1.368683255,0.172889234,1.309197746,9.354636701,0.446621562,0.855555208,1.560656994,0.472089971,walking
user-id,1.50958E+12,0.003597122,0.012589928,0.023381295,0.048561151,0.097122302,0.224820144,0.258992806,0.181654676,0.098920863,0.035971223,0.017985612,0.061151079,0.107913669,0.122302158,0.165467626,0.113309353,0.129496403,0.111510791,0.080935252,0.066546763,0.044964029,0.158273381,0.190647482,0.098920863,0.097122302,0.104316547,0.122302158,0.133093525,0.037769784,0.005395683,58.93121693,86.34108527,78.9929078,0.336268522,0.607448499,1.39373366,-0.094221513,0.971846052,9.412232159,0.438568211,0.722373361,1.579281585,0.528508045,walking
user-id,1.50958E+12,0.018348624,0.029357798,0.082568807,0.155963303,0.234862385,0.220183486,0.113761468,0.075229358,0.047706422,0.016513761,0.005504587,0.016513761,0.03853211,0.071559633,0.093577982,0.170642202,0.144954128,0.183486239,0.132110092,0.106422018,0.011009174,0.108256881,0.2,0.106422018,0.088073394,0.091743119,0.082568807,0.113761468,0.12293578,0.053211009,58.68648649,85.64566929,82.89230769,0.338451701,0.618101677,1.488376124,0.00906904,1.153405958,9.402436059,0.440230597,0.754275693,1.682174913,0.5187113,walking
user-id,1.50958E+12,0.003809524,0.00952381,0.001904762,0.00952381,0.045714286,0.211428571,0.339047619,0.257142857,0.091428571,0.019047619,0.00952381,0.068571429,0.078095238,0.116190476,0.175238095,0.12952381,0.16,0.137142857,0.078095238,0.036190476,0.007619048,0.095238095,0.182857143,0.156190476,0.08,0.085714286,0.083809524,0.116190476,0.108571429,0.064761905,57.32967033,76.72058824,82.80952381,0.321855877,0.538422719,1.280604894,-0.049911325,1.177769252,9.41834432,0.438225395,0.645937465,1.44547591,0.500172934,walking
user-id,1.50958E+12,0.010989011,0.027472527,0.084249084,0.104395604,0.216117216,0.236263736,0.177655678,0.084249084,0.043956044,0.012820513,0.021978022,0.049450549,0.139194139,0.148351648,0.166666667,0.168498168,0.122710623,0.111721612,0.062271062,0.003663004,0.012820513,0.122710623,0.225274725,0.115384615,0.075091575,0.076923077,0.10989011,0.139194139,0.08974359,0.023809524,56.56994819,78.25362319,76.31205674,0.285324312,0.564663136,1.231150417,-0.050326421,1.218036358,9.434500502,0.367048662,0.681927831,1.377831389,0.521303226,walking
user-id,1.50958E+12,0.014571949,0.034608379,0.054644809,0.123861566,0.227686703,0.262295082,0.129326047,0.100182149,0.034608379,0.010928962,0.009107468,0.045537341,0.10564663,0.178506375,0.189435337,0.167577413,0.178506375,0.098360656,0.018214936,0.001821494,0.029143898,0.12568306,0.178506375,0.122040073,0.102003643,0.071038251,0.089253188,0.080145719,0.129326047,0.058287796,61.90960452,80.27737226,87.656,0.318386547,0.596857218,1.339832323,-0.135971458,1.337526804,9.42881711,0.413898237,0.726491986,1.522970959,0.52503316,walking
user-id,1.50958E+12,0.014953271,0.056074766,0.091588785,0.16635514,0.218691589,0.218691589,0.119626168,0.044859813,0.037383178,0.024299065,0.005607477,0.011214953,0.009345794,0.029906542,0.072897196,0.123364486,0.162616822,0.188785047,0.16635514,0.155140187,0.031775701,0.117757009,0.213084112,0.106542056,0.085981308,0.089719626,0.108411215,0.117757009,0.082242991,0.03364486,56.35106383,79.36567164,82.74418605,0.390858866,0.666638982,1.451335157,-0.048941725,1.523128702,9.388868357,0.500561188,0.833047073,1.645921875,0.511868267,walking
user-id,1.50958E+12,0.005628518,0.013133208,0.058161351,0.176360225,0.298311445,0.213883677,0.116322702,0.088180113,0.013133208,0.015009381,0.016885553,0.031894934,0.045028143,0.090056285,0.114446529,0.168855535,0.095684803,0.18011257,0.135084428,0.099437148,0.05065666,0.120075047,0.165103189,0.101313321,0.082551595,0.07879925,0.099437148,0.095684803,0.125703565,0.063789869,59.3988764,75.03521127,77.48175182,0.298964832,0.623407698,1.28318292,0.163861158,1.782160775,9.354660922,0.382216277,0.742375676,1.450116444,0.509792439,walking
user-id,1.50958E+12,0.009689922,0.025193798,0.050387597,0.07751938,0.151162791,0.19379845,0.153100775,0.168604651,0.118217054,0.036821705,0.015503876,0.093023256,0.129844961,0.139534884,0.180232558,0.191860465,0.129844961,0.073643411,0.031007752,0.013565891,0.023255814,0.102713178,0.166666667,0.143410853,0.147286822,0.127906977,0.129844961,0.075581395,0.062015504,0.013565891,54.58201058,65.32692308,59.40804598,1.390821952,1.353051592,2.18266472,-0.173440948,3.311796795,8.846434512,1.716998234,1.646267919,2.59372569,0.501903416,running
user-id,1.50958E+12,0.009276438,0.020408163,0.044526902,0.092764378,0.150278293,0.218923933,0.168831169,0.128014842,0.103896104,0.042671614,0.016697588,0.070500928,0.116883117,0.153988868,0.139146568,0.139146568,0.115027829,0.100185529,0.085343228,0.051948052,0.033395176,0.087198516,0.116883117,0.12244898,0.098330241,0.12987013,0.13729128,0.113172542,0.079777365,0.055658627,58.56521739,67.21875,68.63057325,1.502071821,1.39888901,2.325613959,-0.498847296,3.298127353,8.944683493,1.884955144,1.663475973,2.736767944,0.530270977,running
